County,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
Solano County,California,434981,66432,7.62,,,,,7.73,67.33,,,3.06,,,,,,,,,,,,,1.93,4.7
Sonoma County,California,500943,19605,13.31,,,,,20.85,19.63,,,8.4,,,,,,,,,,,,,,
Stanislaus County,California,535684,29488,27.85,,,,14.69,8.45,23.2,,,,,,,,,,,,,,,,,
Sutter County,California,95583,14565,71.95,,,,,,,,,,,,,,,,,,,,,,,
Tehama County,California,63247,907,,,,,,,,,,,,,,,,,,,,,,,,
Trinity County,California,13037,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare County,California,458809,16081,,,,,,,46.78,,,,,,,,,,,,,,,,,
Tuolumne County,California,53899,609,,,,,,,,,,,,,,,,,,,,,,,,
Ventura County,California,847834,60986,21.9,,,,,16.83,32.37,,,7.22,5.99,,,,,,,,,,,,2.92,6.62
Yolo County,California,212605,29138,15.07,,,,,33.84,11.81,,,4.84,,,,,,,,,,,,,3.5,8.12
Yuba County,California,74644,4823,,,,,,,,41.65,,,,,,,,,,,,,,,,
Adams County,Colorado,487850,19067,,,,,,12.73,,15.42,,6.29,,,,,,,,,,,,,,19.61
Alamosa County,Colorado,16345,,,,,,,,,,,,,,,,,,,,,,,,,
Arapahoe County,Colorado,626612,35876,21.35,,,,,14.72,6.59,,,,20.08,,,,,,,,,,,,,13.41
Archuleta County,Colorado,12592,,,,,,,,,,,,,,,,,,,,,,,,,
Baca County,Colorado,3581,,,,,,,,,,,,,,,,,,,,,,,,,
Bent County,Colorado,5806,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder County,Colorado,316782,14305,20.35,,,,,33.81,,,,7.8,7.94,,,,,,,,,,,,,
Broomfield County,Colorado,64283,4163,,,,,,,,,,,,,,,,,,,,,,,,
Chaffee County,Colorado,18818,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne County,Colorado,2127,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Creek County,Colorado,9257,,,,,,,,,,,,,,,,,,,,,,,,,
Conejos County,Colorado,8147,,,,,,,,,,,,,,,,,,,,,,,,,
Costilla County,Colorado,3628,54,,,,,,,,,,90.74,,,,,,,,,,,,,,
Crowley County,Colorado,5514,,,,,,,,,,,,,,,,,,,,,,,,,
Custer County,Colorado,4505,,,,,,,,,,,,,,,,,,,,,,,,,
Delta County,Colorado,30217,,,,,,,,,,,,,,,,,,,,,,,,,
Denver County,Colorado,678467,24433,11.5,,,,,19.95,6.63,,,5.76,7.43,,,,,,,,,,,,,25.61
Dolores County,Colorado,1736,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas County,Colorado,320940,14158,42.05,,,,,18.15,,,,,,,,,,,,,,,,,,
Eagle County,Colorado,53726,,,,,,,,,,,,,,,,,,,,,,,,,
Elbert County,Colorado,24553,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso County,Colorado,674826,18531,,,,,,13.88,24.55,,,,23.94,,,,,,,,,,,,,
Fremont County,Colorado,46601,339,,,,,,,,,,,,,,,,,,,,,,,,
Garfield County,Colorado,57945,467,,,,,,,,,,,,,,,,,,,,,,,,
Gilpin County,Colorado,5793,,,,,,,,,,,,,,,,,,,,,,,,,
Grand County,Colorado,14793,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnison County,Colorado,16215,,,,,,,,,,,,,,,,,,,,,,,,,
Hinsdale County,Colorado,820,,,,,,,,,,,,,,,,,,,,,,,,,
Huerfano County,Colorado,6498,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson County,Colorado,1372,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson County,Colorado,564029,15240,,,,,,19.78,6.9,,,10.54,9.76,,,,,,,,,,,,,27.26
Kiowa County,Colorado,1368,,,,,,,,,,,,,,,,,,,,,,,,,
Kit Carson County,Colorado,7846,,,,,,,,,,,,,,,,,,,,,,,,,
Lake County,Colorado,7481,,,,,,,,,,,,,,,,,,,,,,,,,
La Plata County,Colorado,54469,,,,,,,,,,,,,,,,,,,,,,,,,
Larimer County,Colorado,330976,6797,,,,,,34.71,,,,,,,,,,,,,,,,,,
Las Animas County,Colorado,14151,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Colorado,5520,,,,,,,,,,,,,,,,,,,,,,,,,
Logan County,Colorado,21885,209,,,,,,,,,,,,,,,,,,,,,,,,
Mesa County,Colorado,148798,1067,,,,,,,,,,,,,,,,,,,,,,,,
Mineral County,Colorado,834,,,,,,,,,,,,,,,,,,,,,,,,,
Moffat County,Colorado,13056,,,,,,,,,,,,,,,,,,,,,,,,,
Montezuma County,Colorado,25770,,,,,,,,,,,,,,,,,,,,,,,,,
Montrose County,Colorado,40908,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan County,Colorado,28123,,,,,,,,,,,,,,,,,,,,,,,,,
Otero County,Colorado,18325,182,,,,,,,,,,,,,,,,,,,,,,,,
Ouray County,Colorado,4653,,,,,,,,,,,,,,,,,,,,,,,,,
Park County,Colorado,16900,,,,,,,,,,,,,,,,,,,,,,,,,
Phillips County,Colorado,4327,,,,,,,,,,,,,,,,,,,,,,,,,
